DEVELOPMENT_ID,LATITUDE,LONGITUDE,STATE_NAME
RQ005002001,18.4303,-66.6843,PR
RQ005002003,18.47389,-66.724996,PR
RQ005002005,18.4178,-66.7577,PR
RQ005002008,18.457092,-66.537716,PR
RQ005002011,18.3327,-66.4728,PR
RQ005002010,18.483,-66.8451,PR
RQ005002014,18.461043,-66.266473,PR
RQ005002015,18.4178,-66.7577,PR
RQ005002017,18.4284,-66.4804,PR
RQ005002018,18.4265,-66.4786,PR
RQ005002019,18.4216,-66.4771,PR
RQ005002020,18.4391,-66.4796,PR
RQ005002021,18.4438,-66.4521,PR
RQ005002023,18.4706,-66.9423,PR
RQ005002026,18.4325,-66.2428,PR
RQ005002024,18.3869,-66.2488,PR
RQ005002027,18.444297,-66.254342,PR
RQ005002029,18.437266,-66.344469,PR
RQ005003003,18.3601,-66.0611,PR
RQ005002030,18.4022,-66.3134,PR
RQ005002034,18.3987,-66.485,PR
RQ005003007,18.394683,-66.167179,PR
RQ005003002,18.383,-66.1743,PR
RQ005003004,18.366,-66.1634,PR
RQ005003008,18.3802,-66.1722,PR
RQ005003024,18.431,-66.1131,PR
RQ005003012,18.3946,-66.02,PR
RQ005003018,18.4354,-66.1331,PR
RQ005003023,18.4354,-66.1331,PR
RQ005003028,18.3987,-66.1177,PR
RQ005003025,18.3585,-66.1106,PR
RQ005004003,18.2342,-66.0367,PR
RQ005004007,18.22898,-66.033167,PR
RQ005004012,18.2094,-66.0444,PR
RQ005004009,18.2278,-66.0505,PR
RQ005004014,18.2566,-65.9769,PR
RQ005004011,18.2329,-66.0317,PR
RQ005005007,18.4011,-66.0087,PR
RQ005005016,18.3742,-65.9843,PR
RQ005005004,18.3742,-65.9843,PR
RQ005005011,18.4126,-65.969,PR
RQ005005009,18.402,-65.9636,PR
RQ005005013,18.3646,-65.9847,PR
RQ005005008,18.415443,-66.006567,PR
RQ005005010,18.3971,-65.9605,PR
RQ005005021,18.3329,-65.6547,PR
RQ005005023,18.374,-65.714,PR
RQ005005025,18.374,-65.714,PR
RQ005006012,18.0776,-66.3661,PR
RQ005005024,18.374,-65.714,PR
RQ005005027,18.370114,-66.025055,PR
RQ005005031,18.1272,-65.3573,PR
RQ005006005,18.1221,-66.1353,PR
RQ005006011,18.054426,-66.400703,PR
RQ005006014,18.39867,-66.023099,PR
RQ005006015,18.3442,-66.3265,PR
RQ005006020,17.972,-66.1269,PR
RQ005006032,17.9778,-66.3551,PR
RQ005006030,17.9709,-66.4007,PR
RQ005006018,17.9873,-66.1153,PR
RQ005006025,18.3004,-66.2443,PR
RQ005008007,18.2083,-67.147,PR
RQ005006027,18.0567,-66.5061,PR
RQ005008003,17.98611,-67.211187,PR
RQ005006026,18.223468,-66.391974,PR
RQ005007007,18.1956,-65.7331,PR
RQ005007006,18.2113,-65.7342,PR
RQ005006031,17.9778,-66.3551,PR
RQ005007003,18.1542,-65.8285,PR
