development_id,address,city,cbsa_name,cbsa_code,county_name,county_code,state_name,zipcode,latitude,longitude
FL001008,671 Center St N,Baldwin,"Jacksonville, FL Metropolitan Statistical Area",17860,Duval,41,FL,64118,39.143937,-87.053835
MN002000007,3110 Blaisdell Ave,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",33460,Hennepin,53,MN,64118,39.143937,-87.053835
MI083000001,110 S 5th St,Escanaba,"Escanaba, MI Micropolitan Statistical Area",21540,Delta,41,MI,64118,45.745561,-87.053835
MN178000001,505 Marshall Dr,Grove City,"Columbia, MO Metropolitan Statistical Area",99999,Meeker,93,FL,64118,45.145887,-94.682451
MN054000001,500 Home St,Fairmont,"Fairmont, MN Micropolitan Statistical Area",21860,Martin,91,FL,64118,43.650193,-94.444935
MO002000738,8230 N Troost Ave,Kansas City,"Kansas City, MO-KS Metropolitan Statistical Area",28140,Clay,47,MO,64118,39.143937,-87.053835
MO056000010,311A Villers Dr,Fayette,"Columbia, MO Metropolitan Statistical Area",17860,Howard,89,MO,65248,39.143937,-92.679233
FL001009,808 1st Ave S,Jacksonville Beach,"Jacksonville, FL Metropolitan Statistical Area",20260,Duval,17,FL,63780,37.216182,-85.013433
MN002000008,725 Aldrich Ave N,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",33460,Hennepin,53,MN,63780,37.216182,-85.013433
MI084000001,829 S Park St,Boyne City,"Duluth, MN-WI Metropolitan Statistical Area",99999,Charlevoix,29,MI,63780,45.205529,-85.013433
MN055000001,201 Spruce Ave,Carlton,"Duluth, MN-WI Metropolitan Statistical Area",20260,Carlton,17,FL,63780,46.670601,-92.425867
MO003000001,2906 S 36th Pl,Saint Joseph,"St. Joseph, MO-KS Metropolitan Statistical Area",41140,Buchanan,21,MO,64503,37.216182,-85.013433
FL001010,617 W 44th St,Jacksonville,"Jacksonville, FL Metropolitan Statistical Area",31300,Duval,53,FL,63043,37.204605,-87.624957
MN002000009,1020 W Medicine Lake Dr,Plymouth,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",33460,Hennepin,53,MN,63043,37.204605,-87.624957
MI087000001,1801 8th Ave,Menominee,"Marinette, WI-MI Micropolitan Statistical Area",31940,Menominee,109,MI,63043,45.106474,-87.624957
MN183000001,112 Cherry St,Arco,"Jacksonville, FL Metropolitan Statistical Area",99999,Lincoln,81,FL,63043,44.383283,-96.186117
MN056000001,507 5th St SE Apt 11,Glenwood,"Jacksonville, FL Metropolitan Statistical Area",99999,Pope,121,FL,63043,45.645929,-95.38137
MO058000001,525 S Campbell Ave,Springfield,"Springfield, MO Metropolitan Statistical Area",44180,Greene,77,MO,65806,37.204605,-93.294547
FL001012,5322 Golfbrook Dr,Jacksonville,"Jacksonville, FL Metropolitan Statistical Area",20260,Duval,61,FL,63136,37.200792,-85.899229
MN003000001,220 E 7th St,Duluth,"Duluth, MN-WI Metropolitan Statistical Area",20260,Saint Louis,137,MN,63136,37.200792,-85.899229
MI088000001,205 Miller Ct,Paw Paw,"Kalamazoo-Portage, MI Metropolitan Statistical Area",28020,Van Buren,159,MI,63136,42.217141,-85.899229
MN057000001,411 NW 7th St,Grand Rapids,"Grand Rapids, MN Micropolitan Statistical Area",24330,Itasca,61,FL,63136,47.239227,-93.535126
MO004000002,10324 Lord Dr,Saint Louis,"St. Louis, MO-IL Metropolitan Statistical Area",41180,St. Louis County,189,MO,63136,37.200792,-85.899229
FL001013,8711 Newton Rd,Jacksonville,"Jacksonville, FL Metropolitan Statistical Area",14660,Duval,21,FL,63043,37.20068,-83.258145
MN003000002,400 N 53rd Ave W,Duluth,"Duluth, MN-WI Metropolitan Statistical Area",20260,Saint Louis,137,MN,63043,37.20068,-83.258145
MI089000001,15270 S Plaza Dr,Taylor,"Detroit-Dearborn-Livonia, MI Metropolitan Division",19804,Wayne,163,MI,63043,42.194747,-83.258145
MN188000001,109 Hazel St N Apt A,Backus,"Brainerd, MN Micropolitan Statistical Area",14660,Cass,21,FL,63043,46.820327,-94.513564
MO058000003,421 W Madison St,Springfield,"Springfield, MO Metropolitan Statistical Area",44180,Greene,77,MO,65806,37.20068,-93.295203
MO004000004,145 Apple Ave,Maryland Heights,"St. Louis, MO-IL Metropolitan Statistical Area",41180,St. Louis County,189,MO,63043,37.20068,-83.258145
FL001014,6750 Ramona Blvd,Jacksonville,"Jacksonville, FL Metropolitan Statistical Area",20260,Duval,5,FL,63133,39.427389,-88.641137
