GEOID,age_c,total_pop_c,total_white_c,total_black_c,total_hispanic_c,poverty_c,income_c,public_assistance_c,owner_c,renter_c,vehicles_c,prop_value_c,year
08121,44,4647,4132,0,455,1419,38818,2138,1479,659,2138,99900,2009
08123,32,241221,166542,1240,66073,59429,55795,83287,60117,23170,83287,198200,2009
08125,38.7,9630,7617,9,1899,2748,39945,3984,2652,1332,3984,104300,2009
09001,38.7,892843,618312,87980,133093,226816,81114,325920,232118,93802,325920,484200,2009
09003,39.2,874409,605481,103955,118714,222351,62829,339516,226890,112626,339516,242900,2009
09005,42.5,188411,173671,1956,6853,50900,69561,73704,58032,15672,73704,287200,2009
09007,41.3,164004,143912,6996,6551,43892,74965,65476,49665,15811,65476,303100,2009
09009,38.1,843532,593942,96426,108551,212204,61234,322752,212218,110534,322752,271500,2009
09011,39.3,266183,216276,13713,17576,70462,65120,104468,72449,32019,104468,263800,2009
09013,37.6,148526,131739,4104,5562,37104,76498,52993,40452,12541,52993,257600,2009
09015,38,116579,101333,1770,9576,28820,57427,42653,30363,12290,42653,226300,2009
10001,35.8,151332,104317,32571,6624,40233,52016,56740,41231,15509,56740,198100,2009
10003,36.3,527774,343102,117395,39011,130611,63160,195137,138957,56180,195137,245800,2009
10005,44.4,184726,143208,23937,12172,49256,50537,73283,58848,14435,73283,235000,2009
11001,35.4,588433,187734,321511,49813,110035,56519,250723,113066,137657,250723,440500,2009
12001,27.5,238990,159374,45732,17368,50686,39345,96518,51541,44977,96518,185500,2009
12003,34.6,25478,20973,3241,631,5914,46315,7680,5860,1820,7680,133000,2009
12005,38.3,163451,131103,18276,5869,44529,46240,68632,44450,24182,68632,178100,2009
12007,37.9,28841,21023,5806,851,5975,40519,8484,6709,1775,8484,122100,2009
12009,44,532697,424063,49382,36273,143543,49114,218885,166698,52187,218885,195800,2009
