DEVELOPMENT_ID,STATE_NAME.x,STATE_CODE,ZIPCODE,INSPECTION_SCORE,INSPECTION_DATE,in_floodplain,inspection_year,latitude,longitude,distance_to_floodzone,census_code,block_group,county
CO035000010,CO,08,80631,82,2018-07-23,0,2018,40.3893834,-104.700407,125075.72200000001,081230010033009,081230010033,08123
MA001000002,MA,25,01851,80,2018-07-10,0,2018,42.634716499999996,-71.31833525,134413.0603,250173118001013,250173118001,25017
MA028000001,MA,25,01702,64,2018-11-15,0,2018,42.273352249999995,-71.39841874999999,101681.94535,250173831022005,250173831022,25017
MA001000001,MA,25,01854,79,2018-07-12,0,2018,42.6455888,-71.319323,135569.62312,250173883001013,250173883001,25017
GA157000001,GA,13,30434,49,2018-09-11,0,2018,33.00583,-82.40353,43914.81744,131639603005027,131639603005,13163
NJ002003004,NJ,34,07103,64,2018-07-30,0,2018,40.733396,-74.18377,1822.7626535,340130228001006,340130228001,34013
NY001000075,NY,36,13204,44,2018-06-27,0,2018,43.042168249999996,-76.16226075,25832.691244999998,360670040001007,360670040001,36067
NJ002003007,NJ,34,07108,52,2018-09-13,0,2018,40.718298,-74.190318,3107.043431,340130227002003,340130227002,34013
NY002000042,NY,36,14201,84,2018-08-06,0,2018,42.8958408,-78.8916652,92441.300304,360290071032004,360290071032,36029
PA022000003,PA,42,17404,65,2018-08-02,0,2018,39.969568333333335,-76.733804,37049.477119999996,421330015001012,421330015001,42133
NY006000001,NY,36,13501,66,2018-08-02,0,2018,43.08120225,-75.2145565,532.772058765,360650213031000,360650213031,36065
PA022000005,PA,42,17313,89,2018-07-12,0,2018,39.9279385,-76.673041,35384.383145,421330228021007,421330228021,42133
PA018000015,PA,42,15944,84,2018-08-29,0,2018,40.383244250000004,-79.05955825000001,246.86467687500001,420639615004077,420639615004,42063
PA042000001,PA,42,18640,82,2018-08-20,0,2018,41.3119098,-75.7530436,19818.22369,420792101002042,420792101002,42079
TN012000003,TN,47,37769,87,2018-07-30,0,2018,36.187722,-84.25527299999999,3112.745992395,470010207001036,470010207001,47001
RI009000001,RI,44,02919,70,2018-08-15,0,2018,41.8025455,-71.49049124999999,62327.437592500006,440070125002010,440070125002,44007
RI001000002,RI,44,02907,69,2018-07-09,0,2018,41.813797,-71.424541,59437.33333,440070012001007,440070012001,44007
PA028000008,PA,42,18301,86,2018-08-10,0,2018,40.9988185,-75.17941675,521.635848375,420893007001009,420893007001,42089
PA029000001,PA,42,15963,70,2018-08-27,0,2018,40.22558725,-78.8196165,3194.16344225,421110203002021,421110203002,42111
PA040000001,PA,42,17745,89,2018-07-17,0,2018,41.128142,-77.464071,473.9160851,420350307012009,420350307012,42035
TN012000008,TN,47,37779,85,2018-08-22,0,2018,36.263991000000004,-83.7122665,1164.59581265,471730401021046,471730401021,47173
TN079000001,TN,47,37055,73,2018-06-18,0,2018,36.06536825,-87.372708,30932.000955,470430606021010,470430606021,47043
